source_motif_id,perturbation_id,attractor_rep_id,attractor_class,period,cycle_found
vector_fano_line_l6,left_hit_e3,novel::9235f21fa4b2,novel,4,True
vector_fano_line_l6,left_hit_e4,novel::9235f21fa4b2,novel,4,True
vector_fano_line_l6,left_hit_e5,novel::4c4bb6280c97,novel,4,True
vector_fano_line_l6,left_hit_e6,novel::3ba622840f5b,novel,4,True
vector_fano_line_l6,left_hit_e7,vector_fano_line_l6,known,4,True
vector_fano_line_l6,right_hit_e1,novel::05bf52bf4742,novel,4,True
vector_fano_line_l6,right_hit_e2,novel::dbc20ff646ba,novel,4,True
vector_fano_line_l6,right_hit_e3,novel::282efc1680f7,novel,4,True
vector_fano_line_l6,right_hit_e4,novel::41f50d061634,novel,4,True
vector_fano_line_l6,right_hit_e5,novel::4c4bb6280c97,novel,4,True
vector_fano_line_l6,right_hit_e6,novel::3ba622840f5b,novel,4,True
vector_fano_line_l6,right_hit_e7,novel::caa40de4cac7,novel,4,True
vector_fano_line_l7,left_hit_e1,novel::e13cc20ef54c,novel,4,True
vector_fano_line_l7,left_hit_e2,novel::568a68f3c092,novel,4,True
vector_fano_line_l7,left_hit_e3,novel::2f2a53fbbde7,novel,4,True
vector_fano_line_l7,left_hit_e4,novel::9e139053cb9e,novel,4,True
vector_fano_line_l7,left_hit_e5,novel::247a1dc945e8,novel,4,True
vector_fano_line_l7,left_hit_e6,novel::509997aaabc3,novel,4,True
vector_fano_line_l7,left_hit_e7,vector_fano_line_l7,known,4,True
vector_fano_line_l7,right_hit_e1,novel::e13cc20ef54c,novel,4,True
vector_fano_line_l7,right_hit_e2,novel::568a68f3c092,novel,4,True
vector_fano_line_l7,right_hit_e3,novel::9e139053cb9e,novel,4,True
vector_fano_line_l7,right_hit_e4,novel::9e139053cb9e,novel,4,True
vector_fano_line_l7,right_hit_e5,novel::568a68f3c092,novel,4,True
vector_fano_line_l7,right_hit_e6,novel::e13cc20ef54c,novel,4,True
vector_fano_line_l7,right_hit_e7,vector_fano_line_l7,known,4,True
vector_proton_proto_t124,left_hit_e1,novel::9362a1577fcf,novel,4,True
vector_proton_proto_t124,left_hit_e2,novel::247a1dc945e8,novel,4,True
vector_proton_proto_t124,left_hit_e3,novel::02d8679a6477,novel,4,True
vector_proton_proto_t124,left_hit_e4,novel::fc20046da5e8,novel,4,True
vector_proton_proto_t124,left_hit_e5,novel::568a68f3c092,novel,4,True
vector_proton_proto_t124,left_hit_e6,novel::0278a51df12f,novel,4,True
vector_proton_proto_t124,left_hit_e7,vector_proton_proto_t124,known,4,True
vector_proton_proto_t124,right_hit_e1,novel::0278a51df12f,novel,4,True
vector_proton_proto_t124,right_hit_e2,novel::568a68f3c092,novel,4,True
vector_proton_proto_t124,right_hit_e3,novel::02d8679a6477,novel,4,True
vector_proton_proto_t124,right_hit_e4,novel::02d8679a6477,novel,4,True
vector_proton_proto_t124,right_hit_e5,novel::568a68f3c092,novel,4,True
vector_proton_proto_t124,right_hit_e6,novel::0278a51df12f,novel,4,True
vector_proton_proto_t124,right_hit_e7,vector_proton_proto_t124,known,4,True
