clock_id,period,rep_id,canonical_cycle
447,6,11,239|1451|46|1679|11|1486
448,6,11,239|1633|11|1440|46|1668
449,6,12,239|1452|45|1679|12|1485
450,6,12,239|1634|12|1440|45|1667
451,6,13,239|1453|44|1679|13|1484
452,6,13,239|1635|13|1440|44|1666
453,6,14,239|1454|43|1679|14|1483
454,6,14,239|1636|14|1440|43|1665
455,6,15,239|1455|42|1679|15|1482
456,6,15,239|1637|15|1440|42|1664
457,6,16,239|1456|41|1679|16|1481
458,6,16,239|1638|16|1440|41|1663
459,6,17,239|1457|40|1679|17|1480
460,6,17,239|1639|17|1440|40|1662
461,6,18,239|1458|39|1679|18|1479
462,6,18,239|1640|18|1440|39|1661
463,6,19,239|1459|38|1679|19|1478
464,6,19,239|1641|19|1440|38|1660
465,6,20,239|1460|37|1679|20|1477
466,6,20,239|1642|20|1440|37|1659
467,6,21,239|1461|36|1679|21|1476
468,6,21,239|1643|21|1440|36|1658
469,6,22,239|1462|35|1679|22|1475
470,6,22,239|1644|22|1440|35|1657
471,6,23,239|1463|34|1679|23|1474
472,6,23,239|1645|23|1440|34|1656
473,6,24,239|1464|33|1679|24|1473
474,6,24,239|1646|24|1440|33|1655
475,6,25,239|1465|32|1679|25|1472
476,6,25,239|1647|25|1440|32|1654
477,6,26,239|1466|31|1679|26|1471
478,6,26,239|1648|26|1440|31|1653
479,6,27,239|1467|30|1679|27|1470
480,6,27,239|1649|27|1440|30|1652
481,6,28,239|1468|29|1679|28|1469
482,6,28,239|1650|28|1440|29|1651
483,6,239,239|480|1199|1440|2159|2400
484,6,239,239|481|1016|1679|1921|2456
485,6,239,239|482|1015|1679|1922|2455
486,6,239,239|483|1014|1679|1923|2454
487,6,239,239|484|1013|1679|1924|2453
488,6,239,239|485|1012|1679|1925|2452
489,6,239,239|486|1011|1679|1926|2451
490,6,239,239|487|1010|1679|1927|2450
491,6,239,239|488|1009|1679|1928|2449
492,6,239,239|489|1008|1679|1929|2448
493,6,239,239|490|1007|1679|1930|2447
494,6,239,239|491|1006|1679|1931|2446
495,6,239,239|492|1005|1679|1932|2445
496,6,239,239|493|1004|1679|1933|2444
497,6,239,239|494|1003|1679|1934|2443
498,6,239,239|495|1002|1679|1935|2442
499,6,239,239|496|1001|1679|1936|2441
500,6,239,239|497|1000|1679|1937|2440
501,6,239,239|498|999|1679|1938|2439
502,6,239,239|499|998|1679|1939|2438
503,6,239,239|500|997|1679|1940|2437
504,6,239,239|501|996|1679|1941|2436
505,6,239,239|502|995|1679|1942|2435
506,6,239,239|503|994|1679|1943|2434
507,6,239,239|504|993|1679|1944|2433
508,6,239,239|505|992|1679|1945|2432
509,6,239,239|506|991|1679|1946|2431
510,6,239,239|507|990|1679|1947|2430
511,6,239,239|508|989|1679|1948|2429
512,6,239,239|509|988|1679|1949|2428
513,6,239,239|510|987|1679|1950|2427
514,6,239,239|511|986|1679|1951|2426
515,6,239,239|512|985|1679|1952|2425
516,6,239,239|513|984|1679|1953|2424
517,6,239,239|514|983|1679|1954|2423
518,6,239,239|515|982|1679|1955|2422
519,6,239,239|516|981|1679|1956|2421
520,6,239,239|517|980|1679|1957|2420
521,6,239,239|518|979|1679|1958|2419
522,6,239,239|519|978|1679|1959|2418
523,6,239,239|520|977|1679|1960|2417
524,6,239,239|521|976|1679|1961|2416
525,6,239,239|522|975|1679|1962|2415
526,6,239,239|523|974|1679|1963|2414
527,6,239,239|524|973|1679|1964|2413
528,6,239,239|525|972|1679|1965|2412
529,6,239,239|526|971|1679|1966|2411
530,6,239,239|527|970|1679|1967|2410
531,6,239,239|528|969|1679|1968|2409
532,6,239,239|529|968|1679|1969|2408
533,6,239,239|530|967|1679|1970|2407
534,6,239,239|531|966|1679|1971|2406
535,6,239,239|532|965|1679|1972|2405
536,6,239,239|533|964|1679|1973|2404
537,6,239,239|534|963|1679|1974|2403
538,6,239,239|535|962|1679|1975|2402
539,6,239,239|536|961|1679|1976|2401
540,6,239,239|663|961|1440|1976|2638
541,6,239,239|664|962|1440|1975|2637
542,6,239,239|665|963|1440|1974|2636
543,6,239,239|666|964|1440|1973|2635
544,6,239,239|667|965|1440|1972|2634
545,6,239,239|668|966|1440|1971|2633
546,6,239,239|669|967|1440|1970|2632
547,6,239,239|670|968|1440|1969|2631
548,6,239,239|671|969|1440|1968|2630
549,6,239,239|672|970|1440|1967|2629
550,6,239,239|673|971|1440|1966|2628
551,6,239,239|674|972|1440|1965|2627
552,6,239,239|675|973|1440|1964|2626
553,6,239,239|676|974|1440|1963|2625
554,6,239,239|677|975|1440|1962|2624
555,6,239,239|678|976|1440|1961|2623
556,6,239,239|679|977|1440|1960|2622
557,6,239,239|680|978|1440|1959|2621
558,6,239,239|681|979|1440|1958|2620
559,6,239,239|682|980|1440|1957|2619
560,6,239,239|683|981|1440|1956|2618
561,6,239,239|684|982|1440|1955|2617
562,6,239,239|685|983|1440|1954|2616
563,6,239,239|686|984|1440|1953|2615
564,6,239,239|687|985|1440|1952|2614
565,6,239,239|688|986|1440|1951|2613
566,6,239,239|689|987|1440|1950|2612
567,6,239,239|690|988|1440|1949|2611
568,6,239,239|691|989|1440|1948|2610
569,6,239,239|692|990|1440|1947|2609
570,6,239,239|693|991|1440|1946|2608
571,6,239,239|694|992|1440|1945|2607
572,6,239,239|695|993|1440|1944|2606
573,6,239,239|696|994|1440|1943|2605
574,6,239,239|697|995|1440|1942|2604
575,6,239,239|698|996|1440|1941|2603
576,6,239,239|699|997|1440|1940|2602
577,6,239,239|700|998|1440|1939|2601
578,6,239,239|701|999|1440|1938|2600
579,6,239,239|702|1000|1440|1937|2599
580,6,239,239|703|1001|1440|1936|2598
581,6,239,239|704|1002|1440|1935|2597
582,6,239,239|705|1003|1440|1934|2596
583,6,239,239|706|1004|1440|1933|2595
584,6,239,239|707|1005|1440|1932|2594
585,6,239,239|708|1006|1440|1931|2593
586,6,239,239|709|1007|1440|1930|2592
587,6,239,239|710|1008|1440|1929|2591
588,6,239,239|711|1009|1440|1928|2590
589,6,239,239|712|1010|1440|1927|2589
590,6,239,239|713|1011|1440|1926|2588
591,6,239,239|714|1012|1440|1925|2587
592,6,239,239|715|1013|1440|1924|2586
593,6,239,239|716|1014|1440|1923|2585
594,6,239,239|717|1015|1440|1922|2584
595,6,239,239|718|1016|1440|1921|2583
596,6,239,239|719|1199|1679|2159|2639
597,12,0,239|537|960|1622|2159|2457|0|662|1199|1497|1920|2582
598,12,0,239|538|960|1621|2159|2458|0|661|1199|1498|1920|2581
599,12,0,239|539|960|1620|2159|2459|0|660|1199|1499|1920|2580
600,12,0,239|540|960|1619|2159|2460|0|659|1199|1500|1920|2579
601,12,0,239|541|960|1618|2159|2461|0|658|1199|1501|1920|2578
602,12,0,239|542|960|1617|2159|2462|0|657|1199|1502|1920|2577
603,12,0,239|543|960|1616|2159|2463|0|656|1199|1503|1920|2576
604,12,0,239|544|960|1615|2159|2464|0|655|1199|1504|1920|2575
605,12,0,239|545|960|1614|2159|2465|0|654|1199|1505|1920|2574
606,12,0,239|546|960|1613|2159|2466|0|653|1199|1506|1920|2573
607,12,0,239|547|960|1612|2159|2467|0|652|1199|1507|1920|2572
608,12,0,239|548|960|1611|2159|2468|0|651|1199|1508|1920|2571
609,12,0,239|549|960|1610|2159|2469|0|650|1199|1509|1920|2570
610,12,0,239|550|960|1609|2159|2470|0|649|1199|1510|1920|2569
611,12,0,239|551|960|1608|2159|2471|0|648|1199|1511|1920|2568
612,12,0,239|552|960|1607|2159|2472|0|647|1199|1512|1920|2567
613,12,0,239|553|960|1606|2159|2473|0|646|1199|1513|1920|2566
614,12,0,239|554|960|1605|2159|2474|0|645|1199|1514|1920|2565
615,12,0,239|555|960|1604|2159|2475|0|644|1199|1515|1920|2564
616,12,0,239|556|960|1603|2159|2476|0|643|1199|1516|1920|2563
617,12,0,239|557|960|1602|2159|2477|0|642|1199|1517|1920|2562
618,12,0,239|558|960|1601|2159|2478|0|641|1199|1518|1920|2561
619,12,0,239|559|960|1600|2159|2479|0|640|1199|1519|1920|2560
620,12,0,239|560|960|1599|2159|2480|0|639|1199|1520|1920|2559
621,12,0,239|561|960|1598|2159|2481|0|638|1199|1521|1920|2558
622,12,0,239|562|960|1597|2159|2482|0|637|1199|1522|1920|2557
623,12,0,239|563|960|1596|2159|2483|0|636|1199|1523|1920|2556
624,12,0,239|564|960|1595|2159|2484|0|635|1199|1524|1920|2555
625,12,0,239|565|960|1594|2159|2485|0|634|1199|1525|1920|2554
626,12,0,239|566|960|1593|2159|2486|0|633|1199|1526|1920|2553
627,12,0,239|567|960|1592|2159|2487|0|632|1199|1527|1920|2552
628,12,0,239|568|960|1591|2159|2488|0|631|1199|1528|1920|2551
629,12,0,239|569|960|1590|2159|2489|0|630|1199|1529|1920|2550
630,12,0,239|570|960|1589|2159|2490|0|629|1199|1530|1920|2549
631,12,0,239|571|960|1588|2159|2491|0|628|1199|1531|1920|2548
632,12,0,239|572|960|1587|2159|2492|0|627|1199|1532|1920|2547
633,12,0,239|573|960|1586|2159|2493|0|626|1199|1533|1920|2546
634,12,0,239|574|960|1585|2159|2494|0|625|1199|1534|1920|2545
635,12,0,239|575|960|1584|2159|2495|0|624|1199|1535|1920|2544
636,12,0,239|576|960|1583|2159|2496|0|623|1199|1536|1920|2543
637,12,0,239|577|960|1582|2159|2497|0|622|1199|1537|1920|2542
638,12,0,239|578|960|1581|2159|2498|0|621|1199|1538|1920|2541
639,12,0,239|579|960|1580|2159|2499|0|620|1199|1539|1920|2540
640,12,0,239|580|960|1579|2159|2500|0|619|1199|1540|1920|2539
641,12,0,239|581|960|1578|2159|2501|0|618|1199|1541|1920|2538
642,12,0,239|582|960|1577|2159|2502|0|617|1199|1542|1920|2537
643,12,0,239|583|960|1576|2159|2503|0|616|1199|1543|1920|2536
644,12,0,239|584|960|1575|2159|2504|0|615|1199|1544|1920|2535
645,12,0,239|585|960|1574|2159|2505|0|614|1199|1545|1920|2534
646,12,0,239|586|960|1573|2159|2506|0|613|1199|1546|1920|2533
647,12,0,239|587|960|1572|2159|2507|0|612|1199|1547|1920|2532
648,12,0,239|588|960|1571|2159|2508|0|611|1199|1548|1920|2531
649,12,0,239|589|960|1570|2159|2509|0|610|1199|1549|1920|2530
650,12,0,239|590|960|1569|2159|2510|0|609|1199|1550|1920|2529
651,12,0,239|591|960|1568|2159|2511|0|608|1199|1551|1920|2528
652,12,0,239|592|960|1567|2159|2512|0|607|1199|1552|1920|2527
653,12,0,239|593|960|1566|2159|2513|0|606|1199|1553|1920|2526
654,12,0,239|594|960|1565|2159|2514|0|605|1199|1554|1920|2525
655,12,0,239|595|960|1564|2159|2515|0|604|1199|1555|1920|2524
656,12,0,239|596|960|1563|2159|2516|0|603|1199|1556|1920|2523
657,12,0,239|597|960|1562|2159|2517|0|602|1199|1557|1920|2522
658,12,0,239|598|960|1561|2159|2518|0|601|1199|1558|1920|2521
659,12,0,239|599|960|1560|2159|2519|0|600|1199|1559|1920|2520
660,12,0,239|1017|1920|182|1199|1977|0|1142|2159|57|960|2102
661,12,0,239|1018|1920|181|1199|1978|0|1141|2159|58|960|2101
662,12,0,239|1019|1920|180|1199|1979|0|1140|2159|59|960|2100
663,12,0,239|1020|1920|179|1199|1980|0|1139|2159|60|960|2099
664,12,0,239|1021|1920|178|1199|1981|0|1138|2159|61|960|2098
665,12,0,239|1022|1920|177|1199|1982|0|1137|2159|62|960|2097
666,12,0,239|1023|1920|176|1199|1983|0|1136|2159|63|960|2096
667,12,0,239|1024|1920|175|1199|1984|0|1135|2159|64|960|2095
668,12,0,239|1025|1920|174|1199|1985|0|1134|2159|65|960|2094
669,12,0,239|1026|1920|173|1199|1986|0|1133|2159|66|960|2093
670,12,0,239|1027|1920|172|1199|1987|0|1132|2159|67|960|2092
671,12,0,239|1028|1920|171|1199|1988|0|1131|2159|68|960|2091
672,12,0,239|1029|1920|170|1199|1989|0|1130|2159|69|960|2090
673,12,0,239|1030|1920|169|1199|1990|0|1129|2159|70|960|2089
674,12,0,239|1031|1920|168|1199|1991|0|1128|2159|71|960|2088
675,12,0,239|1032|1920|167|1199|1992|0|1127|2159|72|960|2087
676,12,0,239|1033|1920|166|1199|1993|0|1126|2159|73|960|2086
677,12,0,239|1034|1920|165|1199|1994|0|1125|2159|74|960|2085
678,12,0,239|1035|1920|164|1199|1995|0|1124|2159|75|960|2084
679,12,0,239|1036|1920|163|1199|1996|0|1123|2159|76|960|2083
680,12,0,239|1037|1920|162|1199|1997|0|1122|2159|77|960|2082
681,12,0,239|1038|1920|161|1199|1998|0|1121|2159|78|960|2081
682,12,0,239|1039|1920|160|1199|1999|0|1120|2159|79|960|2080
683,12,0,239|1040|1920|159|1199|2000|0|1119|2159|80|960|2079
684,12,0,239|1041|1920|158|1199|2001|0|1118|2159|81|960|2078
685,12,0,239|1042|1920|157|1199|2002|0|1117|2159|82|960|2077
686,12,0,239|1043|1920|156|1199|2003|0|1116|2159|83|960|2076
687,12,0,239|1044|1920|155|1199|2004|0|1115|2159|84|960|2075
688,12,0,239|1045|1920|154|1199|2005|0|1114|2159|85|960|2074
689,12,0,239|1046|1920|153|1199|2006|0|1113|2159|86|960|2073
690,12,0,239|1047|1920|152|1199|2007|0|1112|2159|87|960|2072
691,12,0,239|1048|1920|151|1199|2008|0|1111|2159|88|960|2071
