s_id,label,class_id,order,q_family_tag,phase_sector_mod3,dominant_dp_left,dominant_dg_left,commute_rate_probe,assoc_nonzero_rate,probe_order_preserve_rate,family_transition_entropy
2322,zeta12^9*(1/2*e001 + -1/2*e101 + -1/2*e110 + -1/2*e111),SC0002,4,C112_complement_halfsum,0,9,0,0.015625,0.875000,0.239583,1.802421
2323,zeta12^9*(1/2*e001 + 1/2*e101 + -1/2*e110 + -1/2*e111),SC0002,4,C112_complement_halfsum,0,9,0,0.015625,0.875000,0.239583,1.802421
2325,zeta12^9*(1/2*e001 + 1/2*e101 + -1/2*e110 + 1/2*e111),SC0002,4,C112_complement_halfsum,0,9,0,0.015625,0.875000,0.239583,1.802421
2327,zeta12^9*(1/2*e001 + 1/2*e101 + 1/2*e110 + -1/2*e111),SC0002,4,C112_complement_halfsum,0,9,0,0.015625,0.875000,0.239583,1.802421
2328,zeta12^9*(1/2*e001 + -1/2*e101 + 1/2*e110 + 1/2*e111),SC0002,4,C112_complement_halfsum,0,9,0,0.015625,0.875000,0.239583,1.802421
2329,zeta12^9*(1/2*e001 + 1/2*e101 + 1/2*e110 + 1/2*e111),SC0002,4,C112_complement_halfsum,0,9,0,0.015625,0.875000,0.239583,1.802421
2330,zeta12^9*(1/2*e001 + 1/2*e011 + -1/2*e100 + -1/2*e110),SC0002,4,C112_complement_halfsum,0,9,0,0.015625,0.875000,0.239583,1.802421
2334,zeta12^9*(1/2*e001 + 1/2*e010 + -1/2*e011 + -1/2*e111),SC0002,4,C112_complement_halfsum,0,9,0,0.015625,0.875000,0.239583,1.802421
2336,zeta12^9*(1/2*e001 + 1/2*e010 + -1/2*e100 + -1/2*e101),SC0002,4,C112_complement_halfsum,0,9,0,0.015625,0.875000,0.239583,1.802421
2338,zeta12^9*(1/2*e001 + 1/2*e010 + 1/2*e100 + -1/2*e101),SC0002,4,C112_complement_halfsum,0,9,0,0.015625,0.875000,0.239583,1.802421
2339,zeta12^9*(1/2*e001 + 1/2*e010 + 1/2*e100 + 1/2*e101),SC0002,4,C112_complement_halfsum,0,9,0,0.015625,0.875000,0.239583,1.802421
1500,zeta12^6*(-1/2*e001 + -1/2*e010 + -1/2*e100 + -1/2*e101),SC0003,4,C112_complement_halfsum,0,6,0,0.015625,0.875000,0.489583,1.802421
1501,zeta12^6*(-1/2*e001 + -1/2*e010 + -1/2*e100 + 1/2*e101),SC0003,4,C112_complement_halfsum,0,6,0,0.015625,0.875000,0.489583,1.802421
1503,zeta12^6*(-1/2*e001 + -1/2*e010 + 1/2*e100 + 1/2*e101),SC0003,4,C112_complement_halfsum,0,6,0,0.015625,0.875000,0.489583,1.802421
1505,zeta12^6*(-1/2*e001 + -1/2*e010 + 1/2*e011 + 1/2*e111),SC0003,4,C112_complement_halfsum,0,6,0,0.015625,0.875000,0.489583,1.802421
1509,zeta12^6*(-1/2*e001 + -1/2*e011 + 1/2*e100 + 1/2*e110),SC0003,4,C112_complement_halfsum,0,6,0,0.015625,0.875000,0.489583,1.802421
1510,zeta12^6*(-1/2*e001 + -1/2*e101 + -1/2*e110 + -1/2*e111),SC0003,4,C112_complement_halfsum,0,6,0,0.015625,0.875000,0.489583,1.802421
1511,zeta12^6*(-1/2*e001 + 1/2*e101 + -1/2*e110 + -1/2*e111),SC0003,4,C112_complement_halfsum,0,6,0,0.015625,0.875000,0.489583,1.802421
1512,zeta12^6*(-1/2*e001 + -1/2*e101 + -1/2*e110 + 1/2*e111),SC0003,4,C112_complement_halfsum,0,6,0,0.015625,0.875000,0.489583,1.802421
1514,zeta12^6*(-1/2*e001 + -1/2*e101 + 1/2*e110 + -1/2*e111),SC0003,4,C112_complement_halfsum,0,6,0,0.015625,0.875000,0.489583,1.802421
1516,zeta12^6*(-1/2*e001 + -1/2*e101 + 1/2*e110 + 1/2*e111),SC0003,4,C112_complement_halfsum,0,6,0,0.015625,0.875000,0.489583,1.802421
1517,zeta12^6*(-1/2*e001 + 1/2*e101 + 1/2*e110 + 1/2*e111),SC0003,4,C112_complement_halfsum,0,6,0,0.015625,0.875000,0.489583,1.802421
1519,zeta12^6*(-1/2*e001 + 1/2*e011 + -1/2*e100 + 1/2*e110),SC0003,4,C112_complement_halfsum,0,6,0,0.015625,0.875000,0.489583,1.802421
1520,zeta12^6*(-1/2*e001 + 1/2*e011 + 1/2*e100 + -1/2*e110),SC0003,4,C112_complement_halfsum,0,6,0,0.015625,0.875000,0.489583,1.802421
1523,zeta12^6*(-1/2*e001 + 1/2*e010 + -1/2*e011 + 1/2*e111),SC0003,4,C112_complement_halfsum,0,6,0,0.015625,0.875000,0.489583,1.802421
1524,zeta12^6*(-1/2*e001 + 1/2*e010 + -1/2*e100 + -1/2*e101),SC0003,4,C112_complement_halfsum,0,6,0,0.015625,0.875000,0.489583,1.802421
