strategy,run_idx,candidate_lock_flag,propagating_flag,period,clock_signature_drift,phase_signature_std_mean,centroid_displacement,nonvac_final
random4,97,False,False,,0.7443348440415889,0.04845485649725203,0.24212290393958066,3736
random4,98,False,False,,0.7494390384786279,0.047562660515968046,0.2492897916313786,3740
random4,99,False,False,,0.6807295832222519,0.04655101374695111,0.2519162356097815,3734
random4,100,False,False,,0.7496056607126987,0.04864473696654509,0.25184157449134514,3735
random4,101,False,False,,0.7755598507064784,0.05088782893247653,0.24276987413516024,3621
random4,102,False,False,,0.5186894605882876,0.03614204955026213,0.24978657709315297,3740
random4,103,False,False,,0.6256387185639385,0.04244538295129735,0.2518120710593127,3736
random4,104,False,False,,0.6376855060872656,0.044773247904128004,0.2505591827800775,3738
random4,105,False,False,,0.7796532035901537,0.0513422659402235,0.25292760717672763,3741
random4,106,False,False,,0.7796532035901537,0.0513422659402235,0.24689903199703486,3738
random4,107,False,False,,0.7127266062383364,0.04719542556173743,0.24952985066270542,3732
random4,108,False,False,,0.8432751266328978,0.05292419641839611,0.2496835323961629,3735
random4,109,False,False,,0.7601472940549187,0.05008342134900289,0.24931841324374385,3731
random4,110,False,False,,0.8154381053941172,0.04978353486801049,0.24749255040735887,3738
random4,111,False,False,,0.6286712432240292,0.04405620822537165,0.24991560363431592,3730
random4,112,False,False,,0.7608471074380164,0.05026031647555268,0.25187974713669287,3740
random4,113,False,False,,0.38971829734293073,0.029290007261759527,0.24874578782511356,3736
random4,114,False,False,,0.6745867768595041,0.0467981397093224,0.25463080528137955,3736
random4,115,False,False,,0.7420743357326934,0.04784758466417024,0.2495191411351959,3739
random4,116,False,False,,0.7715997956100594,0.05001189676004412,0.2486818638581978,3734
random4,117,False,False,,0.6786134808495512,0.04673741248822639,0.25054386929338296,3744
random4,118,False,False,,0.7701390740247045,0.049473850691216216,0.2505371864473217,3739
random4,119,False,False,,0.6986581356082823,0.0461235590376142,0.2285135642341395,2805
random4,120,False,False,,0.6852394916911045,0.04183161040691829,0.25402494555510996,3732
random4,121,False,False,,0.7837854349951124,0.05058291818178267,0.26208389742710103,3598
random4,122,False,False,,0.6992357593530615,0.04400399674323896,0.25702221569972655,3742
random4,123,False,False,,0.8244801386296987,0.04959014406192657,0.24314571652602632,3735
random4,124,False,False,,0.7605971740869103,0.05056664779269047,0.25363228215955047,3740
random4,125,False,False,,0.8302897005243047,0.051020602733508634,0.25581205241682536,3734
